address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2691 N Mcarthur Ave # DD7R7W,Fresno,CA,93727,284950,1641.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098289_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
295 N Minnewawa Ave,Fresno,CA,93727,310000,2140.0,4.0,3.0,127,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/295-N-Minnewawa-Ave-Fresno-CA-93727/18759515_zpid/
2691 N Mcarthur Ave # Y9I6X,Fresno,CA,93727,357950,1935.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098280_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2691 N Mcarthur Ave # M92QD9,Fresno,CA,93727,429950,3104.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098286_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2691 N Mcarthur Ave # 1B6JIZ,Fresno,CA,93727,315950,2079.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098284_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
811 S Mcarthur Ave # 7696NN,Fresno,CA,93727,337900,2108.0,3.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554991_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2691 N Mcarthur Ave # 8PKH8S,Fresno,CA,93727,357950,2207.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098279_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2691 N Mcarthur Ave # 837J1F,Fresno,CA,93727,413450,2600.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098282_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1060 S Mckelvey Ave,Fresno,CA,93727,270990,1728.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2090768217_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5477 E Tulare Ave,FRESNO,CA,93727,193000,2176.0,3.0,2.0,1,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/5477-E-Tulare-Ave-Fresno-CA-93727/18759746_zpid/
5786 E Alta Ave,Fresno,CA,93727,230000,1997.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5786-E-Alta-Ave-Fresno-CA-93727/18768988_zpid/
4916 E Nevada Ave,Fresno,CA,93727,145000,1600.0,3.0,1.5,2,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4916-E-Nevada-Ave-Fresno-CA-93727/18759424_zpid/
5188 E Ashlan Ave APT 129,Fresno,CA,93727,169000,1295.0,3.0,2.0,2,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5188-E-Ashlan-Ave-APT-129-Fresno-CA-93727/18775669_zpid/
1202 S Shelly Ave,Fresno,CA,93727,310000,1961.0,4.0,2.5,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1202-S-Shelly-Ave-Fresno-CA-93727/2090746522_zpid/
2691 N Mcarthur Ave # 863EVM,Fresno,CA,93727,404450,2675.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091796283_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1363 S Sylmar Ave,Fresno,CA,93727,255000,1517.0,3.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1363-S-Sylmar-Ave-Fresno-CA-93727/68963297_zpid/
4960 E Tulare Ave,FRESNO,CA,93727,260000,NA,NA,NA,2,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4960-E-Tulare-Ave-Fresno-CA-93727/18760672_zpid/
811 S Mcarthur Ave # PGGZSY,Fresno,CA,93727,327900,2069.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554992_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6880 E Harvey Ave,Fresno,CA,93727,663000,3888.0,6.0,4.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6880-E-Harvey-Ave-Fresno-CA-93727/2090788064_zpid/
5235 E Townsend Ave,Fresno,CA,93727,301900,2243.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5235-E-Townsend-Ave-Fresno-CA-93727/18767983_zpid/
6687 E Montecito Ave,Fresno,CA,93727,265000,1525.0,3.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6687-E-Montecito-Ave-Fresno-CA-93727/79543750_zpid/
6208 E Lyell Ave,Fresno,CA,93727,250000,1808.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6208-E-Lyell-Ave-Fresno-CA-93727/18659497_zpid/
6967 E Erin Ave,Fresno,CA,93727,270990,2450.0,5.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091970862_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1034 S Clover Ave,Fresno,CA,93727,270990,2175.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2090901076_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6962 E Geary St,Fresno,CA,93727,264990,1492.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091970859_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1196 S Clover Ave,Fresno,CA,93727,274990,1492.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673491_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
317 S Willow Ave,Fresno,CA,93727,125000,1539.0,4.0,2.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/317-S-Willow-Ave-Fresno-CA-93727/18760320_zpid/
6793 E Christine Ave,Fresno,CA,93727,270990,2063.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094372479_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4914 E Platt Ave,Fresno,CA,93727,169500,1016.0,3.0,1.5,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4914-E-Platt-Ave-Fresno-CA-93727/18760718_zpid/
6535 E Butler Ave,Fresno,CA,93727,236000,1694.0,3.0,2.0,9,Auction,http://www.zillow.com/homes/for_sale//homedetails/6535-E-Butler-Ave-Fresno-CA-93727/95483595_zpid/
1347 S Filbert Ave # 93Z9EL,Fresno,CA,93727,269750,1725.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2092190070_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5644 E Byrd Ave,Fresno,CA,93727,295000,2204.0,4.0,2.5,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5644-E-Byrd-Ave-Fresno-CA-93727/18662541_zpid/
5889 E Ramona Ave,Fresno,CA,93727,260000,1662.0,5.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5889-E-Ramona-Ave-Fresno-CA-93727/18777940_zpid/
5511 E Erin Ave,Fresno,CA,93727,325000,1736.0,3.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5511-E-Erin-Ave-Fresno-CA-93727/89469961_zpid/
5155 E Dwight Way,Fresno,CA,93727,337900,2122.0,4.0,3.0,8,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/5155-E-Dwight-Way-Fresno-CA-93727/18768319_zpid/
